Airfoil,w_l1,w_l2,w_l3,w_l4,w_l5,w_l6,w_u1,w_u2,w_u3,w_u4,w_u5,w_u6,Alpha,CL,CD
A17,-0.16847,-0.16994,-0.15617,-0.14471,-0.13928,-0.14177,0.15856,0.163031,0.145953,0.138513,0.140052,0.140214,2,0.1958,0.00684
A17,-0.16847,-0.16994,-0.15617,-0.14471,-0.13928,-0.14177,0.15856,0.163031,0.145953,0.138513,0.140052,0.140214,4,0.4566,0.0089
A17,-0.16847,-0.16994,-0.15617,-0.14471,-0.13928,-0.14177,0.15856,0.163031,0.145953,0.138513,0.140052,0.140214,6,0.7428,0.012
A17,-0.16847,-0.16994,-0.15617,-0.14471,-0.13928,-0.14177,0.15856,0.163031,0.145953,0.138513,0.140052,0.140214,8,0.8957,0.01516
A17,-0.16847,-0.16994,-0.15617,-0.14471,-0.13928,-0.14177,0.15856,0.163031,0.145953,0.138513,0.140052,0.140214,10,1.013,0.01967
A18,-0.1504,-0.13313,-0.18287,-0.12825,-0.12698,-0.15344,0.146501,0.139812,0.176654,0.148454,0.161366,0.135564,-2,-0.1891,0.00687
A18,-0.1504,-0.13313,-0.18287,-0.12825,-0.12698,-0.15344,0.146501,0.139812,0.176654,0.148454,0.161366,0.135564,0,0.0161,0.00632
A18,-0.1504,-0.13313,-0.18287,-0.12825,-0.12698,-0.15344,0.146501,0.139812,0.176654,0.148454,0.161366,0.135564,2,0.2395,0.00647
A18,-0.1504,-0.13313,-0.18287,-0.12825,-0.12698,-0.15344,0.146501,0.139812,0.176654,0.148454,0.161366,0.135564,4,0.5054,0.00865
A18,-0.1504,-0.13313,-0.18287,-0.12825,-0.12698,-0.15344,0.146501,0.139812,0.176654,0.148454,0.161366,0.135564,6,0.7594,0.01299
A18,-0.1504,-0.13313,-0.18287,-0.12825,-0.12698,-0.15344,0.146501,0.139812,0.176654,0.148454,0.161366,0.135564,8,0.8895,0.01649
A18,-0.1504,-0.13313,-0.18287,-0.12825,-0.12698,-0.15344,0.146501,0.139812,0.176654,0.148454,0.161366,0.135564,10,0.997,0.02246
A19,-0.1508,-0.17312,-0.17365,-0.12959,-0.15798,-0.15435,0.163213,0.148695,0.149951,0.115497,0.157708,0.130644,-2,-0.2484,0.00733
A19,-0.1508,-0.17312,-0.17365,-0.12959,-0.15798,-0.15435,0.163213,0.148695,0.149951,0.115497,0.157708,0.130644,0,-0.0223,0.00609
A19,-0.1508,-0.17312,-0.17365,-0.12959,-0.15798,-0.15435,0.163213,0.148695,0.149951,0.115497,0.157708,0.130644,2,0.1847,0.00693
A19,-0.1508,-0.17312,-0.17365,-0.12959,-0.15798,-0.15435,0.163213,0.148695,0.149951,0.115497,0.157708,0.130644,4,0.4471,0.00929
A19,-0.1508,-0.17312,-0.17365,-0.12959,-0.15798,-0.15435,0.163213,0.148695,0.149951,0.115497,0.157708,0.130644,6,0.7252,0.01223
A19,-0.1508,-0.17312,-0.17365,-0.12959,-0.15798,-0.15435,0.163213,0.148695,0.149951,0.115497,0.157708,0.130644,8,0.8981,0.0155
